DaysSinceRecentOrder,Nb Orders,Amount Orders,Avg Amount Orders,Max Amount Orders,Nb items,Avg Nb items,Avg item amount,Max item amount,PayMeth_Bancontact,PayMeth_Card,PayMeth_Ideal,PayMeth_Klarna,PayMeth_Other,PayMeth_Pay Later,PayMeth_shopify payments,Always Discount,Always Free Shipping,Never Discount,Never Free Shipping,Max Discount Percentage,Same SKU more than once,Email Marketing Consent,Accepts Marketing,click,open,Days since First Active,Days since Last Active,Days since Profile Created On,Days since Date Added,Recent City_amersfoort,Recent City_amsterdam,Recent City_breda,Recent City_den haag,Recent City_eindhoven,Recent City_groningen,Recent City_haarlem,Recent City_rotterdam,Recent City_utrecht,Recent City_zwolle,dbscan_cluster
387,5,308.15,51.36,65.9,8,1.0,32.73,33.07,0,1,1,0,0,1,0,0,1,0,0,0.15,1,0,0,1,1,762,387,762,1,False,False,False,False,False,False,False,False,False,False,-1
387,1,31.95,31.95,31.95,1,1.0,31.95,31.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,2,0,0,1,707,387,707,1,False,False,False,False,False,False,False,False,False,False,7
387,1,25.46,25.46,25.46,1,1.0,29.17,29.17,0,0,1,0,0,0,0,1,1,0,0,0.15,0,2,0,0,1,965,253,893,1,False,False,False,False,False,False,False,False,False,False,0
387,1,29.95,29.95,29.95,1,1.0,29.95,29.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,0,0,0,1,521,190,499,1,False,False,False,False,False,False,False,False,False,False,7
76,3,384.68,76.94,94.38,8,2.0,30.75,34.95,0,0,1,0,0,0,1,0,1,0,0,0.11,1,1,0,1,1,793,1,793,1,False,False,False,False,False,False,False,False,False,False,14
387,1,36.95,36.95,36.95,1,1.0,36.95,36.95,0,0,0,0,0,1,0,0,1,1,0,0.0,0,2,0,0,1,594,28,594,1,False,False,False,False,False,False,False,False,False,False,3
387,1,120.42,60.21,60.21,2,1.0,32.87,33.36,0,0,0,0,0,1,0,1,1,0,0,0.09,0,1,0,1,1,796,253,796,1,False,False,False,False,False,False,False,False,False,False,2
387,1,33.26,33.26,33.26,1,1.0,36.65,36.65,0,0,1,0,0,0,0,1,1,0,0,0.1,0,1,0,0,1,578,26,578,1,False,False,False,False,False,False,False,False,False,False,0
265,1,28.95,28.95,28.95,1,1.0,28.95,28.95,0,0,0,1,0,0,0,0,1,1,0,0.0,0,2,0,1,1,265,208,265,1,False,False,False,False,False,False,False,False,False,False,1
387,11,1629.47,148.13,263.6,55,5.0,30.77,32.95,0,0,1,0,0,0,0,0,1,0,0,0.11,1,0,0,1,0,1123,230,391,1,False,True,False,False,False,False,False,False,False,False,-1
129,4,979.86,81.66,93.91,12,1.0,29.61,34.95,0,0,1,0,0,0,1,1,1,0,0,0.11,0,1,0,1,1,777,-1,777,1,False,False,False,False,False,False,False,False,False,False,-1
377,1,32.95,32.95,32.95,1,1.0,32.95,32.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,2,0,0,1,380,-2,380,1,False,False,False,False,False,False,False,False,False,False,7
387,1,106.94,53.47,53.47,2,1.0,30.63,31.11,0,0,0,0,0,1,0,1,1,0,0,0.15,0,2,0,0,1,778,2,778,1,False,False,False,False,False,False,False,False,False,False,24
327,1,23.35,23.35,23.35,1,1.0,25.95,25.95,0,0,0,0,0,0,1,1,1,0,0,0.11,0,1,1,0,1,327,2,327,1,False,False,False,False,False,False,False,False,False,False,11
387,1,59.9,59.9,59.9,2,2.0,29.95,29.95,1,0,0,0,0,0,0,0,1,1,0,0.0,0,2,0,0,1,547,2,547,1,False,False,False,False,False,False,False,False,False,False,31
263,1,39.95,39.95,39.95,1,1.0,39.95,39.95,0,0,0,1,0,0,0,0,1,1,0,0.0,0,0,0,0,1,263,208,263,1,False,False,False,False,False,False,False,False,False,False,32
175,1,122.15,122.15,122.15,1,1.0,122.15,122.15,0,0,0,0,0,0,1,0,1,1,0,0.0,0,1,1,1,1,175,104,175,1,False,False,False,False,False,False,False,False,False,False,-1
387,3,395.84,65.97,74.91,8,1.0,25.62,26.95,0,0,1,0,0,0,0,0,1,0,0,0.05,1,0,0,1,1,1005,291,893,1,False,False,False,False,False,False,False,False,True,False,-1
319,2,70.9,35.45,38.95,2,1.0,35.45,38.95,0,0,1,0,0,0,1,0,1,1,0,0.0,0,2,0,0,1,692,1,692,1,False,False,False,False,False,False,False,False,False,False,202
100,3,248.79,82.93,125.32,10,3.0,27.62,28.95,0,0,1,0,0,0,1,1,1,0,0,0.32,1,2,0,1,1,403,22,403,1,False,False,False,False,False,False,True,False,False,False,-1
190,1,67.5,33.75,33.75,2,1.0,18.76,29.56,0,0,0,0,0,0,1,1,1,0,0,0.11,0,0,0,0,1,190,41,190,1,False,False,False,False,False,False,False,False,False,False,10
387,1,1487.88,371.97,371.97,14,4.0,29.95,32.95,0,0,0,0,0,1,0,1,1,0,0,0.11,0,2,0,0,1,435,80,435,1,False,False,False,False,False,False,False,False,False,False,-1
18,1,229.08,76.36,76.36,3,1.0,28.28,32.95,0,0,0,0,0,0,1,1,1,0,0,0.11,0,1,1,0,1,18,-2,18,1,False,False,False,False,False,False,False,False,False,False,11
387,3,420.55,70.09,85.36,7,1.0,30.11,32.41,0,0,1,0,0,0,0,1,1,0,0,0.23,1,1,0,1,1,643,2,643,1,False,False,False,False,False,False,False,False,False,False,33
280,2,436.72,109.18,130.0,7,2.0,27.15,28.95,0,0,1,0,0,0,1,1,1,0,0,0.1,0,0,0,1,1,461,179,461,1,False,False,False,False,False,False,False,False,False,False,34
320,1,35.95,35.95,35.95,1,1.0,39.95,39.95,0,0,0,1,0,0,0,1,1,0,0,0.11,0,1,1,0,1,320,40,320,1,False,False,False,False,False,False,False,False,False,False,35
387,2,306.15,61.23,69.21,6,1.0,19.75,32.95,0,0,1,0,0,0,0,1,1,0,0,0.05,0,1,0,1,1,1063,387,879,1,False,False,False,False,False,False,False,False,False,False,4
24,1,89.26,44.63,44.63,2,1.0,25.95,25.95,0,0,0,0,0,0,1,1,1,0,0,0.16,0,1,1,0,0,24,-2,24,1,False,False,False,False,False,False,False,False,False,False,36
169,1,53.9,53.9,53.9,2,2.0,26.95,26.95,0,0,0,1,0,0,0,0,1,1,0,0.0,0,0,0,1,1,169,141,169,1,False,False,False,False,False,False,False,False,False,False,37
190,3,654.47,93.5,149.19,10,1.0,27.86,33.36,0,0,1,0,0,0,1,1,1,0,0,0.23,0,0,0,1,1,729,162,729,1,False,False,False,False,False,False,False,False,False,False,-1
110,2,198.14,49.54,52.36,4,1.0,29.98,34.95,0,0,1,0,0,0,1,1,1,0,0,0.32,0,1,0,1,1,995,-5,893,1,False,False,False,False,False,False,False,False,False,False,34
221,1,57.9,57.9,57.9,2,2.0,28.95,28.95,0,0,0,0,0,0,1,0,1,1,0,0.0,0,2,0,1,1,221,118,221,1,False,False,False,False,False,False,False,False,False,False,17
123,3,289.99,96.66,119.27,7,2.0,59.72,119.27,0,0,1,1,0,1,0,0,1,0,0,0.05,0,0,0,0,1,588,97,588,1,False,False,False,False,False,False,False,False,False,False,-1
330,1,115.8,57.9,57.9,2,1.0,28.95,28.95,0,0,0,0,0,0,1,0,1,1,0,0.0,0,2,0,0,1,330,172,330,1,False,False,False,False,False,False,False,False,False,False,8
